col2018.1.229.,col2019.1.229.,col2021
C04_O8,C4_3,C4_4
C04_O9,C4_4,C4_5
C04_O10,C4_5,C4_6
C05_T1,C4_6,C4_7
C05_T2,C4_7,C4_8
C05_T3,C4_8,C4_9
C06_T1,C4_9,C4_10
C06_T2,C4_10,C4_99
C06_T3,C4_99,C5_1
C06_T4,C5_1,C5_2
C06_T5,C5_2,C5_3
C06_T6,C5_3,C5_4
C06_T7,C5_4,C5_5
C06_T8,C5_5,C5_6
C07,C5_6,C5_7
C08_1,C5_7,C5_8
C08_2,C5_8,C5_9
C08_1X,C5_9,C5_10
TOTAL_MINUTOS,C5_10,C5_99
D01,C5_99,C6_1
D02_T1,c6_1,C6_2
D02_T2,c6_2,C6_3
D02_T3,c6_3,C6_4
D02_T4,c6_4,C7_1
D02_T5,C7_1,C7_2
D03,C7_2,C7_3
E01,C7_3,C7_4
E02_T1,C7_4,C7_5
E02_T2,C7_5,C7_6
E02_T3,C7_6,C7_7
E02_T4,C7_7,C7_8
E02_T5,C7_8,C8
E02_T6,C8,C9_1
E02_T7,C9_1,C9_2
E03,C9_2,TOTAL_MI
E08,D1,D1
E09,D2_1,D2_1
F03_T1,D2_2,D2_2
F03_T2,D2_3,D2_3
F03_T3,D2_4,D2_4
F03_T4,D2_5,D2_5
F04_O1,E1,D3_1
F04_O2,E2_1,D3_2
F04_O3,E2_2,D3_3
F04_O4,E2_3,D3_4
F04_O5,E2_4,E1
F04_O6,E2_5,E2_1
F04_O7,E2_6,E2_2
F04_O8,E2_7,E2_3
F04_O9,E3,E2_4
F04_O10,E4,E2_5
F04_OT,E5,E2_6
F05,F1_1,E2_7
F05A_O1,F1_2,E3
F05A_O2,F1_3,E4
F05A_O3,F1_4,E5
F05A_O4,F2_1,E6
F05A_O5,F2_2,F1_1
F05A_O6,F2_3,F1_2
F05A_O7,F2_4,F1_3
F05A_O8,F2_5,F1_4
F05A_OTH,F2_6,F2_1
F06,F2_7,F2_2
Q_51_S,F2_8,F2_3
F07,F2_98,F2_4
Z01,F2_99,F2_5
Z02,F3,F2_6
Z04,F4_1,F2_7
Z03,F4_2,F2_8
Z05,F4_3,F2_98
Z06,F4_4,F2_99
E10,F4_5,F3
Z07,F4_6,Z1
Z08,F4_7,Z2
Z09,F4_8,Z3
Z09_O,F4_9,Z4
Z10,F4_10,Z5
Z11,F4_11,Z6
Z11_1_O1,F5,Z7
Z11_1_O2,F5__C_94,Z8
Z11_1_O3,F6,Z9
Z11_1_O4,Z1,PONDERAD
